127.0.0.1 - - [15/Apr/2018:00:59:37 -0600] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:00:59 -0600] "GET /LeaveManagement/HTML/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:10 -0600] "POST /LeaveManagement/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:10 -0600] "GET /LeaveManagement/JSP/HR.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:14 -0600] "GET /LeaveManagement/JSP/EmployeeRecords.jsp HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:20 -0600] "GET /LeaveManagement/JSP/AddEmployee.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:49 -0600] "POST /LeaveManagement/JSP/AddEmployee.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:49 -0600] "GET /LeaveManagement/JSP/AddEmpSuccess.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:52 -0600] "GET /LeaveManagement/JSP/HR.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:01:54 -0600] "GET /LeaveManagement/JSP/EmployeeRecords.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [15/Apr/2018:12:55:57 -0600] "GET /LeaveManagement/JSP/EmployeeRecords.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [15/Apr/2018:12:56:06 -0600] "GET /LeaveManagement/JSP/HR.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [15/Apr/2018:12:56:11 -0600] "GET /LeaveManagement/JSP/AddEmpSuccess.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [15/Apr/2018:12:56:13 -0600] "GET /LeaveManagement/JSP/HR.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [15/Apr/2018:12:56:56 -0600] "GET /LeaveManagement/JSP/HR.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [15/Apr/2018:13:36:05 -0600] "GET /LeaveManagement/HTML/Login.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [15/Apr/2018:13:36:16 -0600] "POST /LeaveManagement/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:13:36:16 -0600] "GET /LeaveManagement/JSP/HR.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [15/Apr/2018:13:36:19 -0600] "GET /LeaveManagement/JSP/DeleteEmployee.jsp HTTP/1.1" 200 416
